text,label
what's that word for when you... never mind,2
Set thermostat to 72,0
Write a function to sort a list of dictionaries by multiple keys,1
Help me set up Kubernetes deployment with health checks?,1
What time is it?.,0
Analyze the time complexity of this recursive algorithm?,1
Design a distributed rate limiter.,1
Turn off bedroom light,0
Can you help me set up kubernetes deployment with health checks,1
Analyze the time complexity of this recursive algorithm,1
What's the weather?.,0
Help me design a database schema for a social media app with 10M users,1
Compare react vs vue for a large enterprise app with 100+ devs,1
Can you do i need an umbrella?,0
Optimize this API endpoint for sub-100ms response time,1
Timer 5 minutes,0
Can you is it raining?,0
Design a caching strategy for this read-heavy workload,1
"Hey, what's playing?",0
"Hey, what's wrong with this sql query execution plan?",1
How many ounces in a cup?,0
"Well, um, you see, the thing is, i need to, like, find out about...",2
Do i need an umbrella?,0
explain this error: nullpointerexception,1
Troubleshoot this intermittent 502 Bad Gateway error,1
What's the capital of france?,0
How many days in February?,0
Help me optimize this SQL query that's taking 5 seconds,1
Latest news headlines,0
Can you set up a ci/cd pipeline for this node.js project,1
"so, like, what's the weather?",2
"Can you wait, no, actually, what i meant was... what's the weather?",2
How many days in February?.,0
"I don't really know how to put this but, um...",2
Set a reminder for 3pm?,0
What's today's date?,0
"Well, um, you see, the thing is, I need to, like, find out about...",2
"Hey, what time is it?",0
When is sunset?,0
Define serendipity,0
Debug why my docker container keeps crashing,1
"Hey, set up a ci/cd pipeline for this node.js project",1
Can you configure nginx as a reverse proxy with rate limiting,1
Set thermostat to 72.,0
should i use microservices or monolith for this architecture?,1
Can you what's the capital of france?,0
Play some jazz?,0
"Hey, turn on the lights",0
"so, like, i was thinking maybe, possibly, could you...",2
"Hey, convert 100c to f",0
"uh, like, can you tell me?",2
Compare React vs Vue for a large enterprise app with 100+ devs?,1
Create a regex that matches valid email addresses but not IPs,1
What's today's date?,0
What's the stock price of AAPL?.,0
Design a blue-green deployment strategy for zero downtime.,1
Can you what day is it?,0
What's the stock price of AAPL?,0
What's Bitcoin at?,0
What day is it?,0
Configure nginx as a reverse proxy with rate limiting,1
"It's kind of, you know, like, complicated but...",2
Profile this code and suggest memory optimizations,1
Set a reminder for 3pm,0
